# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
2809.899145321006,331398
2811.35486645835,331684
2812.814526196114,331998
2814.244846992292,332268
2815.694141419664,332570
2817.139284925331,332860
2818.599664223249,333162
2820.050913790321,333462
2821.493501615055,333746
2822.954886429593,334040
2824.415905086575,334340
2825.877857784892,334628
2827.332253054375,334926
2828.790722310306,335242
2830.244846992284,335522
2831.694141419655,335828
2833.139284925321,336116
2834.599664223239,336402
2836.05091379031,336708
2837.493501615043,336986
2838.954886429581,337290
2840.415905086562,337580
2841.877857784879,337874
2843.332253054362,338166
2844.790722310294,338466
2846.244846992272,338754
2847.694141419644,339050
2849.139284925311,339346
2850.599664223229,339650
2852.050913790301,339946
2853.493501615035,340222
2853.493501615035,340222
2854.954886429574,340532
2856.415905086554,340814
2857.877857784871,341110
2859.332253054354,341406
2860.790722310286,341708
2862.244846992265,341998
2863.694141419637,342286
2865.139284925303,342582
2865.139284925303,342582
2866.599664223221,342876
2868.050913790294,343178
2869.493501615028,343442
2870.954886429566,343744
2872.415905086547,344028
2873.877857784864,344304
2875.332253054347,344588
2876.790722310279,344884
2878.244846992257,345158
2879.694141419628,345462
2879.694141419628,345462
2881.139284925294,345742
2882.599664223211,346036
2882.599664223211,346036
2884.040983952203,346334
2885.493501615016,346604
2886.954886429554,346898
2886.954886429554,346898
2888.415905086534,347168
2888.415905086534,347168
2889.877857784851,347470
2891.332253054333,347756
2892.790722310264,348052
2894.244846992242,348330
2895.694141419614,348624
2897.139284925279,348904
2898.599664223197,349184
2900.040983952188,349472
2901.493501615002,349762
2902.95488642954,350050
2904.41590508652,350326
2905.877857784836,350624
2905.877857784836,350624
2907.332253054319,350900
2908.79072231025,351200
2910.244846992228,351468
2911.694141419599,351764
2913.139284925265,352056
2914.599664223182,352344
2916.040983952174,352640
2917.493501614987,352926
2918.954886429525,353210
2920.415905086505,353480
2921.877857784822,353750
2923.332253054305,354046
2924.790722310237,354338
2926.244846992215,354622
2927.694141419587,354918
2929.139284925253,355196
2930.599664223171,355490
2932.040983952164,355774
2933.493501614978,356052
2934.954886429517,356346
2936.415905086497,356626
2937.877857784814,356910
2939.332253054297,357204
2940.790722310228,357494
2942.244846992206,357766
2943.694141419577,358050
2945.139284925243,358344
2946.59966422316,358624
2948.040983952152,358928
