# total_scans #1
35.30880566965789 16.0
35.30880566965789 17.0
35.63693126826547 17.0
35.63693126826547 18.0
36.0 18.0
36.0 19.0
36.51460569165647 19.0
36.51460569165647 20.0
38.63693126826547 20.0
38.63693126826547 21.0
39.51460569165647 21.0
39.51460569165647 22.0
39.7047119946219 22.0
39.7047119946219 22.0
# total_scans #23
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.88096665102057 2.0
15.88096665102057 3.0
17.0 3.0
17.0 4.0
18.88096665102057 4.0
18.88096665102057 5.0
20.0 5.0
20.0 6.0
25.88096665102057 6.0
25.88096665102057 7.0
27.0 7.0
27.01815886614611 9.0
32.0 9.0
32.0 9.0
# total_scans #24
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.63633039500564 2.0
15.63633039500564 3.0
17.0 3.0
17.0 4.0
18.63633039500564 4.0
18.63633039500564 5.0
24.0 5.0
24.0 6.0
25.63633039500564 6.0
25.63633039500564 7.0
25.91484651790742 7.0
25.91484651790742 8.0
30.63633039500564 8.0
30.63633039500564 8.0
# total_scans #25
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.37164182541892 2.0
15.37164182541892 3.0
21.0 3.0
21.0 4.0
22.09204156696796 4.0
22.09204156696796 5.0
22.37164182541892 5.0
22.37164182541892 6.0
23.98409713734873 6.0
24.0 8.0
25.37164182541892 8.0
25.37164182541892 9.0
26.98409713734873 9.0
27.0 11.0
28.37164182541892 11.0
28.37164182541892 12.0
29.09204156696796 12.0
29.09204156696796 13.0
29.98409713734873 13.0
30.0 14.0
30.0 14.0
30.23737346939743 14.0
30.23737346939743 15.0
31.37164182541892 15.0
31.37164182541892 16.0
32.0 16.0
32.0 16.0
# total_scans #26
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.04790991381742 2.0
15.04790991381742 3.0
21.0 3.0
21.0 4.0
21.04790991381742 4.0
21.04790991381742 5.0
22.62051517353393 5.0
22.62051517353393 6.0
25.62051517353393 6.0
25.62051517353393 7.0
28.0 7.0
28.0 8.0
28.04790991381742 8.0
28.04790991381742 9.0
28.62051517353393 9.0
28.62051517353393 10.0
29.10029383189976 10.0
29.10029383189976 11.0
31.04790991381742 11.0
31.04790991381742 12.0
32.10029383189976 12.0
32.10029383189976 13.0
33.0 13.0
33.0 13.0
# total_scans #27
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.28908563777804 2.0
15.28908563777804 3.0
21.0 3.0
21.0 4.0
21.28908563777804 4.0
21.28908563777804 5.0
22.94307967904024 5.0
22.94307967904024 6.0
28.0 6.0
28.0 7.0
28.28908563777804 7.0
28.28908563777804 8.0
28.94307967904024 8.0
28.94307967904024 9.0
29.61022626352496 9.0
29.61022626352496 10.0
33.28908563777804 10.0
33.28908563777804 10.0
# total_scans #28
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.61419595964253 2.0
15.61419595964253 3.0
18.61419595964253 3.0
18.61419595964253 4.0
21.0 4.0
21.0 5.0
22.07753978203982 5.0
22.07753978203982 6.0
25.61419595964253 6.0
25.61419595964253 7.0
27.57808655037086 7.0
27.57808655037086 8.0
28.0 8.0
28.0 9.0
28.07753978203982 9.0
28.07753978203982 10.0
29.05584849021398 10.0
29.07753978203982 11.0
29.07753978203982 11.0
30.57808655037086 11.0
30.57808655037086 12.0
30.61419595964253 12.0
30.61419595964253 12.0
# total_scans #29
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.6563781616278 2.0
15.6563781616278 3.0
17.0 3.0
17.0 4.0
18.6563781616278 4.0
18.6563781616278 5.0
21.6563781616278 5.0
21.6563781616278 6.0
24.0 6.0
24.0 7.0
24.6563781616278 7.0
24.6563781616278 8.0
25.43681685999036 8.0
25.43681685999036 9.0
27.6563781616278 9.0
27.6563781616278 10.0
31.0 10.0
31.0 11.0
32.43681685999036 11.0
32.43681685999036 12.0
32.6563781616278 12.0
32.6563781616278 13.0
32.87922027177396 13.0
32.87922027177396 14.0
34.0 14.0
34.0 15.0
35.43681685999036 15.0
35.43681685999036 16.0
35.6563781616278 16.0
35.6563781616278 17.0
35.87922027177396 17.0
35.87922027177396 18.0
37.0 18.0
37.0 19.0
38.43681685999036 19.0
38.43681685999036 20.0
38.6563781616278 20.0
38.6563781616278 21.0
38.87922027177396 21.0
38.87922027177396 22.0
40.0 22.0
40.0 23.0
41.43681685999036 23.0
41.43681685999036 24.0
41.6563781616278 24.0
41.6563781616278 25.0
41.87922027177396 25.0
41.87922027177396 26.0
43.0 26.0
43.0 27.0
44.43681685999036 27.0
44.43681685999036 28.0
44.87922027177396 28.0
44.87922027177396 29.0
46.0 29.0
46.0 30.0
46.6563781616278 30.0
46.6563781616278 30.0
# total_scans #30
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.60863478295505 2.0
15.60863478295505 3.0
21.0 3.0
21.0 4.0
22.03017528261989 4.0
22.03017528261989 5.0
22.60863478295505 5.0
22.60863478295505 6.0
23.6464853847865 6.0
23.6464853847865 7.0
25.03017528261989 7.0
25.03017528261989 8.0
25.60863478295505 8.0
25.60863478295505 9.0
28.0 9.0
28.0 10.0
28.03017528261989 10.0
28.03017528261989 11.0
28.60863478295505 11.0
28.60863478295505 12.0
28.6464853847865 12.0
28.6464853847865 13.0
29.91349241393618 13.0
29.91349241393618 14.0
31.0 14.0
31.0 15.0
31.03017528261989 15.0
31.03017528261989 16.0
31.60863478295505 16.0
31.60863478295505 17.0
31.6464853847865 17.0
31.6464853847865 18.0
34.0 18.0
34.0 19.0
34.03017528261989 19.0
34.03017528261989 20.0
34.60863478295505 20.0
34.60863478295505 21.0
34.6464853847865 21.0
34.6464853847865 22.0
34.91349241393618 22.0
34.91349241393618 22.0
# total_scans #31
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.4691933193244 2.0
15.4691933193244 3.0
21.0 3.0
21.0 4.0
22.4691933193244 4.0
22.4691933193244 5.0
22.83071138992155 5.0
22.83071138992155 6.0
25.4691933193244 6.0
25.4691933193244 7.0
25.83071138992155 7.0
25.83071138992155 8.0
28.0 8.0
28.0 9.0
28.4691933193244 9.0
28.4691933193244 10.0
29.27991968183778 10.0
29.27991968183778 11.0
30.83071138992155 11.0
30.83071138992155 11.0
# total_scans #32
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.1551427654922 2.0
15.1551427654922 3.0
21.0 3.0
21.0 4.0
22.10594264813699 4.0
22.10594264813699 5.0
22.1551427654922 5.0
22.1551427654922 6.0
23.93466251459904 6.0
23.93466251459904 7.0
25.10594264813699 7.0
25.10594264813699 8.0
25.1551427654922 8.0
25.1551427654922 9.0
26.93466251459904 9.0
26.93466251459904 10.0
28.0 10.0
28.0 11.0
28.10594264813699 11.0
28.10594264813699 12.0
28.1551427654922 12.0
28.1551427654922 13.0
29.93466251459904 13.0
29.93466251459904 14.0
29.96159191040335 14.0
29.96159191040335 15.0
31.0 15.0
31.0 16.0
31.10594264813699 16.0
31.10594264813699 17.0
31.1551427654922 17.0
31.1551427654922 18.0
32.93466251459904 18.0
32.93466251459904 19.0
32.96159191040334 19.0
32.96159191040334 20.0
34.0 20.0
34.0 21.0
34.10594264813699 21.0
34.10594264813699 22.0
34.1551427654922 22.0
34.1551427654922 23.0
35.93466251459904 23.0
35.93466251459904 24.0
35.96159191040334 24.0
35.96159191040334 25.0
37.0 25.0
37.0 26.0
37.10594264813699 26.0
37.10594264813699 27.0
38.93466251459904 27.0
38.93466251459904 28.0
38.96159191040334 28.0
38.96159191040334 29.0
39.1551427654922 29.0
39.1551427654922 29.0
# total_scans #33
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
