# total_attempts #1
19.8215423731599 12.0
20.8215423731599 12.0
20.8215423731599 13.0
20.8215423731599 13.0
21.8215423731599 13.0
21.8215423731599 14.0
21.8215423731599 14.0
22.0 14.0
22.0 15.0
22.0 15.0
22.8215423731599 15.0
22.8215423731599 16.0
22.8215423731599 16.0
23.0 16.0
23.0 17.0
23.0 17.0
23.6237083079759 17.0
23.6237083079759 18.0
23.6237083079759 18.0
23.8215423731599 18.0
23.8215423731599 19.0
23.8215423731599 19.0
24.0 19.0
24.0 20.0
24.0 20.0
24.6237083079759 20.0
24.6237083079759 21.0
24.6237083079759 21.0
25.0 21.0
